CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
Barbados,BRB,20200122,20210510,H1: Public information campaigns,2,1,"On Jan 22 Barbados Ministry of Health reported that they started to put measures in place to respond to any threat to public health which may be caused by COVID. https://web.archive.org/web/20210718105739/https://gisbarbados.gov.bb/blog/health-ministry-on-alert-for-new-coronavirus/  Barbados has established a COVID-19 information phone hotline. https://web.archive.org/web/20200321135236/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/#collapse4  Information is being posted on the Government Information Service website, with a special web page dedicated to COVID-19. https://web.archive.org/web/20210718105539/https://gisbarbados.gov.bb/blog/extracts-emergency-management-covid-19-order-2020-fbclidiwar32cxrvq5zqfy0msm6nybss1_90a-nygoo3isvesndcghk-wagaik1dz48/"
Barbados,BRB,20200126,20200711,C8: International travel controls,2,,"On the official Barbados Government Information Service Website, it was confirmed on Mar 11 2020 that since, January 26 [2020], 162 people arriving in Barbados from affected areas had been placed in home quarantine for a period of 14 days.    https://web.archive.org/web/20210719185235/https://gisbarbados.gov.bb/blog/no-confirmed-cases-of-covid-19-in-barbados/"
Barbados,BRB,20200126,20200418,H2: Testing policy,1,,"""Since January 26, 162 people arriving in Barbados from affected areas have been placed in home quarantine for a period of 14 days. Today, there are 42 people in quarantine. No-one exhibiting symptoms of COVID-19 – cough, fever or breathlessness – is placed in quarantine, and if these symptoms occur while in quarantine, the person will be isolated and tested. Anyone arriving in Barbados exhibiting symptoms will be placed in isolation immediately. All the tests conducted at the Best-dos Santos Public Health Laboratory so far have been negative.""  Archived Source: http://web.archive.org/web/20200402225720/https://gisbarbados.gov.bb/blog/no-confirmed-cases-of-covid-19-in-barbados/"
Barbados,BRB,20200317,20200614,C3: Cancel public events,2,1,"Gatherings with more than 100 people need to be cancelled, referring to stage 1 of the Covid-19 Preparedness Plan of Barbados.  https://web.archive.org/web/20210718114734/https://www.nationnews.com/2020/03/17/covid-19-management-and-response-plans-by-stage/ https://web.archive.org/web/20200926091425/http://www.loopnewsbarbados.com:8080/content/covid-19-management-and-response-plans-stage"
Barbados,BRB,20200317,20200402,C4: Restrictions on gatherings,3,1,"Gatherings with more than 100 people need to be cancelled, referring to stage 1 of the Covid-19 Preparedness Plan of Barbados. https://web.archive.org/web/20210718114734/https://www.nationnews.com/2020/03/17/covid-19-management-and-response-plans-by-stage/"
Barbados,BRB,20200317,20210930,H3: Contact tracing,2,,"The government announced on 17 March 2020 that the first 2 cases of COVID identified in Barbados had been quarantined and that Government had started tracing anyone who may have come in contact with them.    https://web.archive.org/web/20200601120000/https://www.nationnews.com/nationnews/news/244441/ministry-health-activates-stage-covid-19-response"
Barbados,BRB,20200317,20200327,H8: Protection of elderly people,3,1,"17th March- Stage 1 of Covid Response activated by Ministry of Health and caution urged. Visits by members of the public to all public and private geriatric institutions are suspended until further notice.     https://web.archive.org/web/20200601120000/https://www.nationnews.com/nationnews/news/244441/ministry-health-activates-stage-covid-19-response"
Barbados,BRB,20200319,20200607,C1: School closing,3,1,"School term ending prematurely on March 19th. All schools will be closed from that date. https://web.archive.org/web/20210718103010/https://barbadostoday.bb/2020/03/19/schools-wont-open-again-after-all-after-unions-outcry/"
Barbados,BRB,20200328,20200503,C2: Workplace closing,3,1,"""Stage 3 of the COVID-19 National Preparedness Plan A public health emergency has been declared A curfew from Saturday, March 28, to Tuesday, April 14, 8:00 p.m. to 6:00 a.m. Persons are confined to their places of residence during curfew hours Limited movement during the day Continue to practise physical distancing of six feet between persons The plan is being implemented in a phased manner based on the intensity of spread."" https://web.archive.org/web/20210718105539/https://gisbarbados.gov.bb/blog/extracts-emergency-management-covid-19-order-2020-fbclidiwar32cxrvq5zqfy0msm6nybss1_90a-nygoo3isvesndcghk-wagaik1dz48/"
Barbados,BRB,20200328,20200402,C6: Stay at home requirements,1,1,"With a nightly curfew in place Nationwide, making an assumption that residents are requested to stay at home at least during these hours 2000hrs to 0600hrs.   http://archive.fo/wip/HPLId"
Barbados,BRB,20200328,20210628,H8: Protection of elderly people,2,1,"Policy update for the protection of elderly in relation to Covid-19: No more than 1 person at a time should visit a patient in a nursing home or senior citizens’ home  https://archive.vn/Tw3wF https://1drv.ms/b/s!AjvFoN9mD2CwkZd19yyJawSWTntmaw?e=LFQ9GY"
Barbados,BRB,20200401,20210328,E1: Income support,1,0,"""Social Security Deferral – Deferral of employer’s contributions to the NIS for  employers retaining more than 2/3 of staff complement; Government will provide supplemental support to the NIS Unemployment Fund as needed and within the context of available fiscal space;  Laid off workers to receive benefits for 6 months and those on short weeks to receive 60% for the days they are not working . Welfare Support – Government, through the welfare department, to provide minimum income of an amount up to USD300 per month to households where no person is left employed as a result of COVID-19."" GDP Per Capita in Barbados is around $16,000 which classafies this as limited support.   https://web.archive.org/web/20200604145001/https://home.kpmg/xx/en/home/insights/2020/04/barbados-government-and-institution-measures-in-response-to-covid.html  https://web.archive.org/web/20200604152540/https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=BB "
Barbados,BRB,20200401,20200820,E2: Debt/contract relief,1,,"Beginning April 1, the Student Revolving Loan Fund (SRLF) is offering borrowers a number of repayment options to help them weather the COVID-19 outbreak. The measures are intended to help cushion the financial impact of the crisis on families.     Government announcement  https://web.archive.org/web/20200618202139/https://gisbarbados.gov.bb/blog/srlf-repayment-relief-in-wake-of-covid-19/"
Barbados,BRB,20200403,20200531,C4: Restrictions on gatherings,4,1,"a 24 hr National curfew is enforced. no gatherings or events.   https://www.garda.com/crisis24/news-alerts/328801/barbados-authorities-announce-24-hour-curfew-from-april-3-update-1  http://archive.fo/wip/50ZHZ"
Barbados,BRB,20200403,20200503,C6: Stay at home requirements,3,1,"A 24 hour curfew will be imposed starting on Friday 3 April until at least April 14.The new measures supersede an overnight curfew which came into effect on Saturday, March 28  /web/20200601121548/https://www.garda.com/crisis24/news-alerts/328801/barbados-authorities-announce-24-hour-curfew-from-april-3-update-1  https://web.archive.org/web/20200601121740/https://www.worldaware.com/covid-19-alert-barbados-imposes-24-hour-curfew-april-3-14  "
Barbados,BRB,20200403,20200630,C7: Restrictions on internal movement,2,1,"Acting Prime Minister Sanita Bradshaw announced that a 24-hour curfew will come into effect at 17:00 (local time) on Friday, April 3, in an effort to contain the spread of the coronavirus (COVID-19) outbreak on Barbados. The new measures supersede an overnight curfew which came into effect on Saturday, March 28. Additionally, all non-essential businesses will remain closed across the island until Wednesday, April 15. Source: https://www.garda.com/crisis24/news-alerts/328801/barbados-authorities-announce-24-hour-curfew-from-april-3-update-1"
Barbados,BRB,20200408,20201008,C5: Close public transport,1,1,"""The Transport Board has decided to keep its service to commuters going, offering shuttles for essential workers during the public health emergency. (...) The Transport Board reversed its decision to end regular scheduled services come Thursday (09.04), the deadline for senior citizens to collect their pensions from post offices around the island. Wharton said: 'We decided to keep the service going because there are people that will still rely on public transport to meet their day-to-day needs. We are concerned about people joyriding, using our service for non-essential travel, and we would ask the public to desist from doing that. We have made the decision to keep the bus service open for now. We will inform the public of any further changes when necessary.' Source: https://web.archive.org/web/20200414045936/https://barbadostoday.bb/2020/04/07/transport-board-no-longer-suspending-services/"
Barbados,BRB,20200411,20200414,H6: Facial Coverings,1,1,"Cloth masks recommended  https://web.archive.org/web/20200806040235/https://gisbarbados.gov.bb/blog/shopping-schedule-during-covid-19-curfew/"
Barbados,BRB,20200415,20210202,H6: Facial Coverings,2,1,"""Barbadians will now have two days weekly to conduct business based on their surnames from April 15. There is a shopping schedule for supermarkets, fish markets, hardware stores and banks. Customers must carry ID cards, wear masks, and have a shopping list. They must practice social distancing."" https://web.archive.org/web/20200823102356/https://www.looptt.com/content/covid-19-curfew-extended-barbados-relaxed-restrictions-5"
Barbados,BRB,20200419,20210328,H2: Testing policy,2,,"""With 27,000 COVID-19 tests and 2,800 swabs secured by the Barbados government, the Ministry of Health intends to increase significantly the number of persons being tested for the virus. Health officials were forced to establish a rigid criteria when testing first began in February and also had to reduce the number of tests conducted in the last three to four days due to limited testing resources but this will be changed going forward."" Source: http://www.loopnewsbarbados.com/content/moh-mass-testing-covid-19-commence-shortly"
Barbados,BRB,20200504,20200722,C2: Workplace closing,2,1,"Businesses are authorised to open under certain operating hours. A comprehensive list is available at https://web.archive.org/web/20200513233646/https://www.loopnewsbarbados.com/content/covid-19-govt-outlines-new-curfew-business-operating-hours"
Barbados,BRB,20200504,20200630,C6: Stay at home requirements,2,1,"""Government has announced a new emergency curfew directive to run from midnight on May 3 to 17, 2020. Under the revised directive, the island will be on a curfew from 8 pm to 5 am each day and all residents are expected to remain indoors except to purchase groceries, conduct banking business or visit a public market."" A nightly 2000-0500 curfew will replace the 24-hour daily curfew beginning May 4.      https://web.archive.org/web/20200513233646/https://www.loopnewsbarbados.com/content/covid-19-govt-outlines-new-curfew-business-operating-hours  https://web.archive.org/web/20200601122157/https://www.worldaware.com/covid-19-alert-barbados-relaxes-movement-business-restrictions-starting-may-4  "
Barbados,BRB,20200601,20200614,C4: Restrictions on gatherings,3,1,"""(...) Churches and faith-based organisations will be allowed to reopen, but under guidelines related to density and specific space for each person. (...) Beaches will also be accessible from 5 a.m. to 6:30 p.m."" Source: https://web.archive.org/web/20200608040349/https://www.nationnews.com/nationnews/news/245825/businesses-reopen"
Barbados,BRB,20200608,20200920,C1: School closing,2,1,"Secondary schools opened beginning June 8.    Local new source:  https://web.archive.org/web/20200618182331/https://barbadostoday.bb/2020/06/01/secondary-schools-to-reopen-next-monday/"
Barbados,BRB,20200615,20210101,C3: Cancel public events,1,1,"All public and entertainment events can now have a maximum of 500 persons, who will have to adhere to physical distancing protocols and wearing of masks.    https://web.archive.org/web/20200629224023/https://gisbarbados.gov.bb/blog/no-more-curfews-effective-wednesday-july-1/    "
Barbados,BRB,20200615,20200724,C4: Restrictions on gatherings,2,1,"The Attorney General noted that from Wednesday, July 15, in relation to public and entertainment events, that once the COVID-19 Monitoring Unit certifies that they are satisfied with the arrangements that are put in place, it would be possible to host events in excess of 500 people.    https://web.archive.org/web/20200629224023/https://gisbarbados.gov.bb/blog/no-more-curfews-effective-wednesday-july-1/"
Barbados,BRB,20200701,20200820,C6: Stay at home requirements,1,1,"All curfew restrictions will be lifted from 1 July.    https://web.archive.org/web/20200709183610/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/"
Barbados,BRB,20200701,20200820,C7: Restrictions on internal movement,1,1,"All curfew restrictions will be lifted from 1 July.    https://web.archive.org/web/20200709183610/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/"
